Player ID,Timestamps,Hours Played,Money Spent ($),Criminal Score,Missions Completed,Player Rank,Team Affiliation,VIP Status,Cash on Hand ($),Sync Stability (%),Quest Exploit Score,Player Level,Dark Market Transactions,Transaction Amount ($),Neural Link Stability (%)
P0044,2025-02-15 06:53:10,163,12220,5,295,Stellar Scout,Cyber Sentinels,No,12998,88.5,614,Quantum Sovereign,QuantumBreaker,5343,90.7
P0045,2025-02-16 10:21:39,438,40,6,446,Galactic Commander,Shadow Collective,No,98,70.7,80,Cosmic Initiate,CyberWraith,182,69.4
P0046,2025-02-16 23:35:08,156,9827,1,154,Interstellar Agent,Shadow Collective,No,5517,90.0,662,Quantum Sovereign,CyberWraith,7468,72.3
P0047,2025-02-16 17:01:02,156,1185,3,48,Interstellar Agent,Shadow Collective,No,2792,99.6,580,Starborne Operative,DataDrifter,3517,86.5
P0048,2025-02-15 18:38:10,145,1775,2,238,Interstellar Agent,Shadow Collective,No,12608,88.0,520,Quantum Sovereign,ByteBandit,7310,94.3
P0049,2025-02-15 07:46:46,420,21,10,422,Universal Archon,Shadow Collective,No,484,41.8,249,Cosmic Initiate,CyberWraith,200,51.3
P0050,2025-02-15 07:23:11,443,18,9,394,Universal Archon,Shadow Collective,No,56,58.9,37,Galactic Cadet,Error404,88,66.2
P0051,2025-02-16 18:56:54,101,19410,0,244,Stellar Scout,Shadow Collective,No,12997,94.9,870,Quantum Sovereign,QuantumBreaker,458,65.6
P0052,2025-02-17 08:03:46,500,45,10,489,Solar Admiral,Shadow Collective,No,184,76.2,0,Cosmic Initiate,GlitchChip,132,54.0
P0053,2025-02-16 09:33:16,100,9487,2,31,Stellar Scout,Cyber Sentinels,No,7501,90.9,798,Starborne Operative,ByteBandit,1087,96.5
P0054,2025-02-16 13:18:06,194,15326,0,278,Cosmic Ensign,Lone Wolf,No,9917,90.0,368,Quantum Sovereign,GlitchChip,9361,63.7
P0055,2025-02-16 16:39:12,186,6184,4,64,Interstellar Agent,Lone Wolf,No,3627,96.3,1000,Celestial Vanguard,QuantumBreaker,7730,78.1
P0056,2025-02-17 16:07:08,88,11827,0,113,Cosmic Ensign,Shadow Collective,No,11847,96.1,742,Starborne Operative,PixelPirate,9516,71.8
P0057,2025-02-16 21:24:56,54,1279,1,185,Interstellar Agent,Cyber Sentinels,No,4151,93.8,634,Quantum Sovereign,GhostCoder,3382,90.8
P0058,2025-02-16 17:49:45,278,19902,1,116,Stellar Scout,Cyber Sentinels,No,2153,85.4,916,Starborne Operative,NeonShifter,8948,73.9
P0059,2025-02-15 05:02:37,130,8540,5,126,Stellar Scout,Shadow Collective,No,4941,88.5,522,Celestial Vanguard,RealityBender,2349,95.1
P0060,2025-02-17 20:46:05,263,13291,0,247,Stellar Scout,Shadow Collective,Yes,7685,91.0,510,Celestial Vanguard,Error404,2142,63.7
P0061,2025-02-15 12:45:00,198,17924,0,103,Stellar Scout,Cyber Sentinels,No,12634,94.1,624,Celestial Vanguard,DataDrifter,3546,99.4
P0062,2025-02-17 10:14:20,172,9365,4,77,Interstellar Agent,Cyber Sentinels,Yes,13663,91.3,402,Celestial Vanguard,CyberWraith,5178,93.5
P0063,2025-02-16 07:36:49,216,10853,1,63,Interstellar Agent,Shadow Collective,Yes,5000,95.9,631,Starborne Operative,NeonShifter,4179,67.1
P0064,2025-02-15 00:40:31,419,9,10,420,Interstellar Agent,Shadow Collective,No,410,48.4,150,Galactic Cadet,Error404,90,52.6
P0065,2025-02-15 12:43:00,297,5960,5,112,Cosmic Ensign,Cyber Sentinels,No,991,92.5,613,Celestial Vanguard,CyberWraith,4444,84.9
P0066,2025-02-15 02:04:25,134,1933,3,37,Stellar Scout,Shadow Collective,Yes,6677,96.4,837,Starborne Operative,NeonShifter,1740,60.6
P0067,2025-02-17 17:19:52,157,3173,0,263,Interstellar Agent,Shadow Collective,No,9293,91.6,917,Quantum Sovereign,RealityBender,5202,79.0
P0068,2025-02-17 17:30:11,82,11580,5,296,Cosmic Ensign,Lone Wolf,No,2079,92.2,884,Starborne Operative,NeonShifter,3693,80.6
P0069,2025-02-17 10:39:03,107,3693,5,68,Interstellar Agent,Shadow Collective,No,2224,88.7,556,Starborne Operative,QuantumBreaker,5484,88.4
P0070,2025-02-16 09:39:09,183,17937,4,156,Stellar Scout,Shadow Collective,No,11333,87.2,335,Quantum Sovereign,PixelPirate,886,91.8
P0071,2025-02-17 23:19:38,86,2117,1,102,Interstellar Agent,Shadow Collective,Yes,8377,92.3,652,Starborne Operative,Error404,6746,78.1
P0072,2025-02-15 15:38:38,117,18887,3,80,Cosmic Ensign,Lone Wolf,No,6027,90.1,490,Celestial Vanguard,CyberWraith,8084,90.9
P0073,2025-02-16 09:13:40,221,12218,4,154,Nebula Novice,Shadow Collective,No,916,99.5,429,Starborne Operative,DataDrifter,7594,93.2
P0074,2025-02-15 08:45:30,125,5138,2,177,Interstellar Agent,Shadow Collective,No,1859,99.5,816,Starborne Operative,PixelPirate,8470,67.8
P0075,2025-02-17 13:10:04,248,1547,1,201,Stellar Scout,Lone Wolf,No,9102,85.7,845,Celestial Vanguard,ByteBandit,3875,87.7
P0076,2025-02-16 14:39:24,90,4281,5,104,Stellar Scout,Lone Wolf,No,10488,91.4,507,Celestial Vanguard,RealityBender,6667,71.9
P0077,2025-02-17 17:36:20,157,16615,3,184,Stellar Scout,Lone Wolf,No,505,86.1,869,Quantum Sovereign,QuantumBreaker,3520,96.9
P0078,2025-02-16 20:38:45,67,2940,3,91,Stellar Scout,Shadow Collective,No,13027,99.6,548,Celestial Vanguard,NeonShifter,6965,75.6
P0079,2025-02-15 14:04:51,139,3311,1,161,Stellar Scout,Shadow Collective,No,12618,93.8,988,Starborne Operative,DataDrifter,7364,65.7
P0080,2025-02-15 20:03:32,52,4843,4,179,Nebula Novice,Lone Wolf,No,4304,94.9,605,Starborne Operative,ByteBandit,7544,66.1
P0081,2025-02-17 16:05:46,283,12186,2,40,Interstellar Agent,Shadow Collective,No,8143,91.4,472,Quantum Sovereign,GhostCoder,4869,69.0
P0082,2025-02-15 07:30:13,493,39,9,392,Galactic Commander,Shadow Collective,No,340,59.8,221,Galactic Cadet,RealityBender,76,66.0
P0083,2025-02-15 20:24:13,237,10039,2,280,Cosmic Ensign,Shadow Collective,No,4616,99.7,385,Starborne Operative,GlitchChip,8055,69.7
P0084,2025-02-16 12:02:35,161,9708,0,269,Interstellar Agent,Lone Wolf,No,11437,90.7,916,Starborne Operative,Error404,1715,83.0
P0085,2025-02-15 08:33:14,111,12819,4,235,Interstellar Agent,Lone Wolf,No,6190,94.7,750,Celestial Vanguard,Error404,8664,61.5
P0086,2025-02-16 05:01:54,210,15149,5,33,Stellar Scout,Lone Wolf,No,10830,99.2,401,Celestial Vanguard,PixelPirate,564,89.2
P0087,2025-02-17 13:51:12,141,12273,2,147,Cosmic Ensign,Shadow Collective,No,5816,91.9,950,Celestial Vanguard,NeonShifter,3530,82.3
P0088,2025-02-17 14:52:36,132,14150,2,108,Interstellar Agent,Cyber Sentinels,No,10599,93.1,533,Celestial Vanguard,QuantumBreaker,1759,96.6
P0089,2025-02-15 06:35:06,130,17292,5,115,Interstellar Agent,Cyber Sentinels,No,12089,92.3,645,Celestial Vanguard,CyberWraith,2708,98.4
P0090,2025-02-15 23:30:09,424,38,7,429,Solar Admiral,Shadow Collective,No,275,47.1,38,Cosmic Initiate,RealityBender,73,61.3
P0091,2025-02-17 18:36:22,153,9630,1,194,Cosmic Ensign,Shadow Collective,No,6811,86.6,600,Quantum Sovereign,Error404,1446,73.0
P0092,2025-02-15 16:22:16,60,9057,4,99,Cosmic Ensign,Cyber Sentinels,No,14151,95.4,524,Starborne Operative,DataDrifter,7314,85.9
P0093,2025-02-15 15:43:34,437,16,5,456,Universal Archon,Shadow Collective,No,212,62.3,98,Galactic Cadet,GlitchChip,182,57.4
P0094,2025-02-16 21:40:31,280,13684,5,153,Cosmic Ensign,Shadow Collective,No,6472,98.5,540,Celestial Vanguard,ByteBandit,5950,63.1
P0095,2025-02-17 02:28:37,489,16,9,448,Galactic Commander,Shadow Collective,No,469,71.4,243,Galactic Cadet,RealityBender,108,61.6
P0096,2025-02-17 04:15:05,299,19155,1,258,Cosmic Ensign,Lone Wolf,No,8040,94.3,809,Quantum Sovereign,PixelPirate,1159,98.1
P0097,2025-02-15 12:28:36,457,36,10,314,Solar Admiral,Shadow Collective,No,361,45.9,33,Galactic Cadet,CyberWraith,57,61.4
P0098,2025-02-16 11:44:22,245,5369,3,130,Interstellar Agent,Shadow Collective,No,11553,89.6,538,Quantum Sovereign,ByteBandit,6770,65.8
P0099,2025-02-16 15:17:36,200,11304,0,47,Cosmic Ensign,Lone Wolf,No,1663,94.2,842,Celestial Vanguard,NeonShifter,3288,70.0
P0100,2025-02-16 19:48:06,95,6938,0,273,Nebula Novice,Shadow Collective,Yes,7111,93.6,696,Celestial Vanguard,PixelPirate,7872,65.5
P0101,2025-02-16 00:59:52,129,12637,1,240,Cosmic Ensign,Shadow Collective,Yes,4768,91.0,532,Celestial Vanguard,GlitchChip,5665,78.1
P0102,2025-02-15 06:50:48,55,2995,4,50,Cosmic Ensign,Cyber Sentinels,No,9169,85.2,634,Celestial Vanguard,QuantumBreaker,553,92.0
P0103,2025-02-16 17:21:58,269,3273,1,116,Interstellar Agent,Cyber Sentinels,No,6156,86.5,999,Starborne Operative,Error404,6230,83.0
P0104,2025-02-17 16:54:44,266,6816,4,96,Interstellar Agent,Cyber Sentinels,No,9307,98.3,423,Celestial Vanguard,QuantumBreaker,1865,74.0
P0105,2025-02-15 13:08:15,92,4267,3,118,Stellar Scout,Lone Wolf,No,7949,98.9,861,Celestial Vanguard,GhostCoder,2006,86.7
P0106,2025-02-15 04:46:00,143,5632,1,271,Stellar Scout,Shadow Collective,Yes,1460,98.7,791,Quantum Sovereign,Error404,1718,93.9
P0107,2025-02-15 06:37:22,132,18279,4,292,Interstellar Agent,Lone Wolf,No,5129,89.8,758,Starborne Operative,QuantumBreaker,7084,76.2
P0108,2025-02-16 03:27:25,403,32,5,382,Universal Archon,Shadow Collective,No,156,59.9,147,Cosmic Initiate,RealityBender,98,68.4
P0109,2025-02-15 22:21:49,241,19719,4,108,Cosmic Ensign,Lone Wolf,Yes,958,85.7,610,Celestial Vanguard,DataDrifter,5863,98.6
P0110,2025-02-15 03:49:05,225,15214,5,280,Stellar Scout,Lone Wolf,No,11955,85.7,519,Starborne Operative,GhostCoder,3142,95.7
P0111,2025-02-17 03:52:34,232,7671,3,125,Nebula Novice,Cyber Sentinels,No,3875,98.5,419,Celestial Vanguard,RealityBender,4038,86.4
P0112,2025-02-17 18:38:45,95,13776,1,210,Interstellar Agent,Cyber Sentinels,No,10309,88.7,984,Celestial Vanguard,PixelPirate,9447,88.4
P0113,2025-02-17 17:41:16,102,9933,3,25,Interstellar Agent,Shadow Collective,No,14305,98.5,799,Celestial Vanguard,Error404,270,85.1
P0114,2025-02-16 04:47:49,498,29,6,469,Galactic Commander,Shadow Collective,No,58,44.6,250,Cosmic Initiate,GlitchChip,187,49.8
P0115,2025-02-17 20:42:13,294,14048,2,294,Cosmic Ensign,Shadow Collective,No,4784,86.6,422,Celestial Vanguard,DataDrifter,1517,82.2
P0116,2025-02-16 12:15:39,182,2169,3,265,Nebula Novice,Cyber Sentinels,No,14149,90.8,385,Quantum Sovereign,GlitchChip,4060,77.4
P0117,2025-02-16 03:00:29,86,15484,4,41,Stellar Scout,Cyber Sentinels,No,1216,93.5,456,Celestial Vanguard,QuantumBreaker,2975,74.0
P0118,2025-02-15 14:36:39,64,13822,3,98,Cosmic Ensign,Lone Wolf,Yes,3514,94.4,643,Quantum Sovereign,GhostCoder,514,94.9
P0119,2025-02-15 05:03:08,204,18319,2,102,Stellar Scout,Lone Wolf,No,1429,86.7,366,Celestial Vanguard,ByteBandit,8853,60.7
P0120,2025-02-17 04:27:50,288,11540,2,39,Stellar Scout,Cyber Sentinels,No,596,90.7,876,Starborne Operative,PixelPirate,9388,64.8
P0121,2025-02-15 16:20:56,59,19469,4,57,Nebula Novice,Lone Wolf,No,8305,99.1,960,Celestial Vanguard,QuantumBreaker,6436,78.0
P0122,2025-02-17 06:28:21,175,9193,2,252,Interstellar Agent,Cyber Sentinels,No,14908,90.4,447,Celestial Vanguard,NeonShifter,6464,100.0
P0123,2025-02-17 16:13:14,239,1686,3,173,Stellar Scout,Cyber Sentinels,No,12143,98.2,532,Celestial Vanguard,NeonShifter,5882,68.3
P0124,2025-02-16 05:32:56,156,16092,5,251,Interstellar Agent,Shadow Collective,No,6034,89.9,708,Starborne Operative,ByteBandit,3473,69.8
P0125,2025-02-17 03:53:21,99,12908,3,300,Interstellar Agent,Shadow Collective,No,3998,90.9,781,Starborne Operative,ByteBandit,7510,72.0
P0126,2025-02-17 12:38:56,272,14504,0,122,Stellar Scout,Shadow Collective,No,3067,94.9,829,Celestial Vanguard,NeonShifter,7357,61.0
P0127,2025-02-15 15:02:00,220,6647,2,99,Interstellar Agent,Lone Wolf,No,3740,87.3,624,Celestial Vanguard,DataDrifter,2239,90.5
P0128,2025-02-16 11:26:21,288,18386,5,38,Nebula Novice,Cyber Sentinels,Yes,642,98.8,354,Celestial Vanguard,GlitchChip,5233,97.3
P0129,2025-02-16 01:58:25,88,7979,2,53,Cosmic Ensign,Lone Wolf,No,10059,98.6,757,Celestial Vanguard,CyberWraith,2970,71.6
P0130,2025-02-15 07:23:27,90,5981,1,232,Nebula Novice,Lone Wolf,No,7212,87.4,865,Quantum Sovereign,GhostCoder,4707,87.6
P0131,2025-02-17 17:48:06,79,5805,3,69,Nebula Novice,Cyber Sentinels,No,8246,90.7,474,Starborne Operative,Error404,6037,97.2
P0132,2025-02-16 18:35:25,164,1650,3,196,Cosmic Ensign,Cyber Sentinels,No,1628,87.7,939,Celestial Vanguard,PixelPirate,2549,64.4
P0133,2025-02-17 20:05:12,221,7459,5,184,Cosmic Ensign,Lone Wolf,No,13387,86.2,917,Celestial Vanguard,RealityBender,9771,76.7
P0134,2025-02-15 12:18:38,114,7292,4,163,Nebula Novice,Shadow Collective,No,3234,85.8,544,Quantum Sovereign,QuantumBreaker,4410,78.0
P0135,2025-02-16 07:31:35,119,16010,5,61,Cosmic Ensign,Lone Wolf,Yes,14787,99.7,939,Starborne Operative,Error404,414,72.1
P0136,2025-02-15 14:32:15,147,13726,0,158,Interstellar Agent,Shadow Collective,No,8898,97.8,734,Celestial Vanguard,CyberWraith,2268,97.7
P0137,2025-02-17 04:21:52,99,17017,2,156,Nebula Novice,Shadow Collective,No,1889,97.1,626,Quantum Sovereign,GlitchChip,476,92.4
P0138,2025-02-17 10:42:27,112,3438,1,211,Nebula Novice,Cyber Sentinels,No,4382,96.7,377,Starborne Operative,RealityBender,5689,94.8
P0139,2025-02-16 20:57:43,474,41,8,461,Solar Admiral,Shadow Collective,No,54,64.5,0,Cosmic Initiate,GlitchChip,70,45.6
P0140,2025-02-17 04:18:06,50,15187,5,139,Stellar Scout,Cyber Sentinels,No,6838,89.8,842,Starborne Operative,GhostCoder,3332,88.3
P0141,2025-02-16 12:04:00,97,16375,2,51,Interstellar Agent,Cyber Sentinels,No,1803,87.6,502,Celestial Vanguard,NeonShifter,8980,83.0
P0142,2025-02-15 13:47:15,229,3483,1,115,Cosmic Ensign,Cyber Sentinels,No,10908,97.5,603,Quantum Sovereign,PixelPirate,8401,85.6
P0143,2025-02-15 15:53:35,261,12297,5,143,Nebula Novice,Lone Wolf,No,11698,88.8,465,Starborne Operative,RealityBender,1128,79.8
P0144,2025-02-17 17:43:55,208,15093,0,248,Nebula Novice,Lone Wolf,No,5716,93.8,670,Quantum Sovereign,Error404,1179,82.8
P0145,2025-02-17 04:56:57,165,12734,5,265,Cosmic Ensign,Shadow Collective,No,8513,89.7,494,Starborne Operative,Error404,2894,61.7
P0146,2025-02-16 01:41:49,275,16127,2,226,Interstellar Agent,Shadow Collective,No,2827,96.1,694,Celestial Vanguard,RealityBender,2384,91.5
P0147,2025-02-16 03:46:36,211,5895,3,207,Nebula Novice,Shadow Collective,No,11342,98.6,454,Quantum Sovereign,NeonShifter,3655,63.8
P0148,2025-02-16 04:29:34,119,12053,1,31,Interstellar Agent,Shadow Collective,No,14095,99.3,862,Celestial Vanguard,DataDrifter,3212,79.5
P0149,2025-02-17 04:42:01,161,6237,3,50,Cosmic Ensign,Cyber Sentinels,Yes,5796,95.6,922,Celestial Vanguard,NeonShifter,3952,80.8
P0150,2025-02-16 11:59:19,156,17072,0,177,Stellar Scout,Shadow Collective,No,11707,94.3,926,Starborne Operative,Error404,2220,81.2
P0151,2025-02-16 00:50:16,256,5198,2,262,Nebula Novice,Cyber Sentinels,No,7332,88.7,634,Quantum Sovereign,DataDrifter,5220,85.4
P0152,2025-02-17 17:40:11,251,10192,4,194,Cosmic Ensign,Lone Wolf,No,2582,99.5,947,Quantum Sovereign,DataDrifter,9813,84.4
P0153,2025-02-17 11:13:27,175,19458,3,29,Cosmic Ensign,Lone Wolf,No,6793,96.3,938,Celestial Vanguard,GlitchChip,8770,79.6
P0154,2025-02-16 19:52:47,292,9716,0,250,Interstellar Agent,Cyber Sentinels,No,5025,95.7,672,Starborne Operative,GhostCoder,4140,68.9
P0155,2025-02-15 00:13:20,261,16812,4,94,Cosmic Ensign,Shadow Collective,No,5647,94.1,849,Starborne Operative,DataDrifter,9890,84.2
P0156,2025-02-15 21:31:34,238,7387,4,278,Cosmic Ensign,Cyber Sentinels,No,7430,95.5,311,Celestial Vanguard,QuantumBreaker,3446,65.8
P0157,2025-02-15 01:50:27,482,49,8,320,Solar Admiral,Shadow Collective,No,465,79.7,0,Galactic Cadet,GlitchChip,163,62.8
P0158,2025-02-15 07:50:44,166,10042,1,252,Cosmic Ensign,Cyber Sentinels,No,5788,99.3,426,Starborne Operative,CyberWraith,9153,79.1
P0159,2025-02-15 10:19:19,234,13288,4,33,Interstellar Agent,Lone Wolf,No,3416,89.9,335,Quantum Sovereign,QuantumBreaker,5408,82.6
P0160,2025-02-16 17:23:56,465,4,10,483,Galactic Commander,Shadow Collective,No,474,42.7,0,Cosmic Initiate,GlitchChip,73,62.6
P0161,2025-02-17 22:48:07,70,14521,2,55,Interstellar Agent,Shadow Collective,No,9096,91.2,705,Quantum Sovereign,NeonShifter,9080,92.9
P0162,2025-02-17 11:18:00,90,4776,2,136,Stellar Scout,Cyber Sentinels,No,9637,85.4,958,Quantum Sovereign,DataDrifter,7942,61.7
P0163,2025-02-15 15:56:49,293,6001,1,276,Cosmic Ensign,Shadow Collective,No,10892,95.1,319,Quantum Sovereign,QuantumBreaker,8164,60.9
P0164,2025-02-17 04:02:45,190,3226,0,122,Nebula Novice,Cyber Sentinels,No,8552,85.1,382,Quantum Sovereign,CyberWraith,8441,95.9
P0165,2025-02-15 11:57:18,88,18571,0,164,Cosmic Ensign,Lone Wolf,No,6863,87.4,506,Quantum Sovereign,QuantumBreaker,5580,67.8
P0166,2025-02-17 17:23:06,80,10351,3,34,Interstellar Agent,Lone Wolf,No,11507,92.7,715,Starborne Operative,NeonShifter,1946,61.7
P0167,2025-02-17 10:35:30,426,13,9,488,Solar Admiral,Shadow Collective,No,345,48.6,155,Galactic Cadet,Error404,63,59.4
P0168,2025-02-15 16:44:03,276,9268,1,281,Nebula Novice,Shadow Collective,Yes,14091,87.7,641,Starborne Operative,GhostCoder,6466,88.8
P0169,2025-02-16 09:20:31,204,6415,3,265,Cosmic Ensign,Lone Wolf,No,4571,86.2,409,Starborne Operative,RealityBender,919,94.3
P0170,2025-02-17 20:56:34,50,10943,3,215,Stellar Scout,Cyber Sentinels,Yes,4027,94.7,733,Quantum Sovereign,CyberWraith,1346,71.2
P0171,2025-02-16 23:35:44,498,3,5,377,Galactic Commander,Shadow Collective,No,476,77.3,104,Cosmic Initiate,RealityBender,171,45.2
P0172,2025-02-15 08:11:53,430,30,9,477,Solar Admiral,Shadow Collective,No,359,62.5,0,Cosmic Initiate,GlitchChip,66,51.9
P0173,2025-02-16 03:28:59,463,28,8,405,Galactic Commander,Shadow Collective,No,295,75.9,143,Galactic Cadet,Error404,101,64.1
P0174,2025-02-15 01:46:39,296,7162,1,249,Nebula Novice,Lone Wolf,Yes,9727,97.5,745,Quantum Sovereign,GhostCoder,3893,88.6
P0175,2025-02-17 06:04:08,446,6,9,394,Universal Archon,Shadow Collective,No,278,46.6,190,Cosmic Initiate,CyberWraith,138,52.2
P0176,2025-02-16 18:14:59,169,12384,2,95,Interstellar Agent,Lone Wolf,No,6403,99.4,388,Quantum Sovereign,QuantumBreaker,2355,73.3
P0177,2025-02-16 02:07:02,165,18668,5,104,Nebula Novice,Shadow Collective,No,14585,99.7,448,Quantum Sovereign,CyberWraith,8950,85.3
P0178,2025-02-17 06:14:03,254,19798,1,125,Interstellar Agent,Cyber Sentinels,No,14929,86.7,813,Quantum Sovereign,RealityBender,8612,64.2
