Crew_ID,Age,Stress_Level,Crew_Role,Fitness_Level,Species,Home_Planet,Ship_Name,Recent_Medical_Incident
CRW0035,76,98,Engineer,High,Vulperian,Zeta Reticuli,SS Solaris,False
CRW0036,85,39,Pilot,Moderate,Xel'Naga,Zeta Reticuli,SS Aurora,False
CRW0037,152,27,Engineer,Low,Zetan,Zylar IV,SS Aurora,True
CRW0038,72,46,Scientist,Low,Draconian,Felix,SS Solaris,False
CRW0039,156,38,Navigator,Moderate,Vulperian,Eldar,SS Solaris,False
CRW0040,42,69,Navigator,Moderate,Eldari,Krellar,SS Endeavor,False
CRW0041,94,72,Scientist,High,Xel'Naga,Krellar,SS Odyssey,False
CRW0042,188,19,Navigator,Low,Vulperian,Vulpes,SS Odyssey,False
CRW0043,39,0,Scientist,Low,Xel'Naga,Aquaros,SS Odyssey,False
CRW0044,153,71,Pilot,High,Eldari,Vulpes,SS Odyssey,False
CRW0045,110,86,Security,High,Vulperian,Nova Terra,SS Andromeda,True
CRW0046,81,62,Engineer,High,Human,Felix,SS Andromeda,False
CRW0047,35,66,Scientist,High,Aquarion,Zeta Reticuli,SS Orion,True
CRW0048,30,3,Engineer,Low,Eldari,Krellar,SS Solaris,False
CRW0049,111,57,Pilot,High,Synthoid,Zylar IV,SS Solaris,False
CRW0050,74,24,Security,High,Synthoid,Krellar,SS Solaris,False
CRW0051,151,46,Pilot,High,Zetan,Krellar,SS Solaris,False
CRW0052,105,37,Navigator,Low,Andromedan,Dracos,SS Odyssey,False
CRW0053,113,14,Engineer,Moderate,Synthoid,Zeta Reticuli,SS Odyssey,False
CRW0054,132,62,Communications Officer,Moderate,Andromedan,Nova Terra,SS Andromeda,False
CRW0055,193,20,Security,High,Human,Vulpes,SS Aurora,False
CRW0056,29,98,Navigator,Low,Eldari,Nova Terra,SS Endeavor,False
CRW0057,196,56,Security,Low,Xel'Naga,Dracos,SS Odyssey,False
CRW0058,56,52,Navigator,High,Zetan,Aquaros,SS Odyssey,False
CRW0059,102,45,Pilot,High,Aquarion,Felix,SS Odyssey,False
CRW0060,185,13,Scientist,High,Draconian,Nova Terra,SS Aurora,False
CRW0061,71,99,Engineer,High,Andromedan,Krellar,SS Aurora,False
CRW0062,125,75,Medical Officer,Moderate,Aquarion,Earth,SS Andromeda,False
CRW0063,153,16,Medical Officer,Low,Zetan,Eldar,SS Odyssey,False
CRW0064,23,38,Pilot,Moderate,Zetan,Nova Terra,SS Endeavor,False
CRW0065,155,8,Engineer,Low,Synthoid,Felix,SS Solaris,True
CRW0066,75,98,Engineer,Moderate,Aquarion,Eldar,SS Odyssey,False
CRW0067,127,76,Pilot,Moderate,Vulperian,Felix,SS Andromeda,False
CRW0068,25,78,Engineer,Moderate,Krell,Dracos,SS Andromeda,False
CRW0069,75,81,Scientist,High,Zetan,Nova Terra,SS Endeavor,True
CRW0070,167,96,Pilot,High,Andromedan,Nova Terra,SS Orion,False
CRW0071,65,5,Scientist,Moderate,Draconian,Andromeda Prime,SS Andromeda,False
CRW0072,183,90,Engineer,High,Draconian,Krellar,SS Aurora,False
CRW0073,35,22,Pilot,High,Felid,Felix,SS Aurora,False
CRW0074,116,58,Engineer,Moderate,Human,Zylar IV,SS Solaris,False
CRW0075,69,90,Pilot,Low,Human,Eldar,SS Andromeda,False
CRW0076,36,97,Engineer,Moderate,Synthoid,Aquaros,SS Solaris,False
CRW0077,61,45,Scientist,Low,Vulperian,Andromeda Prime,SS Andromeda,False
CRW0078,103,37,Communications Officer,Moderate,Synthoid,Krellar,SS Endeavor,False
CRW0079,132,13,Scientist,Moderate,Draconian,Dracos,SS Odyssey,True
CRW0080,74,99,Engineer,Moderate,Xel'Naga,Eldar,SS Andromeda,False
CRW0081,45,71,Pilot,Low,Draconian,Vulpes,SS Orion,False
CRW0082,175,61,Medical Officer,Moderate,Zetan,Dracos,SS Aurora,False
CRW0083,145,34,Scientist,Moderate,Aquarion,Zylar IV,SS Endeavor,False
CRW0084,62,18,Scientist,Moderate,Aquarion,Eldar,SS Odyssey,False
CRW0085,178,29,Navigator,Moderate,Zetan,Dracos,SS Odyssey,True
CRW0086,36,77,Medical Officer,High,Zetan,Andromeda Prime,SS Aurora,True
CRW0087,66,83,Engineer,High,Draconian,Dracos,SS Odyssey,False
CRW0088,86,24,Communications Officer,High,Aquarion,Zylar IV,SS Solaris,False
CRW0089,110,39,Pilot,Low,Aquarion,Zylar IV,SS Endeavor,False
CRW0090,92,87,Navigator,High,Eldari,Earth,SS Orion,False
CRW0091,30,13,Engineer,High,Felid,Nova Terra,SS Aurora,False
CRW0092,109,25,Security,Moderate,Aquarion,Vulpes,SS Andromeda,False
CRW0093,150,86,Communications Officer,High,Zetan,Vulpes,SS Andromeda,False
CRW0094,157,21,Scientist,Moderate,Human,Andromeda Prime,SS Andromeda,False
CRW0095,84,47,Security,High,Vulperian,Zylar IV,SS Endeavor,False
CRW0096,160,82,Scientist,Low,Xel'Naga,Earth,SS Orion,True
CRW0097,102,50,Scientist,Low,Zetan,Krellar,SS Odyssey,False
CRW0098,157,2,Security,Low,Felid,Earth,SS Orion,True
CRW0099,184,41,Communications Officer,Moderate,Aquarion,Aquaros,SS Orion,False
CRW0100,184,18,Security,Moderate,Andromedan,Dracos,SS Aurora,False
CRW0101,54,72,Engineer,High,Draconian,Nova Terra,SS Endeavor,False
CRW0102,144,27,Navigator,High,Draconian,Earth,SS Andromeda,False
CRW0103,26,83,Navigator,High,Vulperian,Dracos,SS Aurora,False
CRW0104,62,44,Security,Moderate,Zetan,Nova Terra,SS Odyssey,True
CRW0105,49,70,Engineer,Moderate,Vulperian,Eldar,SS Orion,False
CRW0106,156,77,Navigator,Moderate,Human,Aquaros,SS Andromeda,False
CRW0107,93,62,Engineer,High,Krell,Aquaros,SS Endeavor,False
CRW0108,33,72,Engineer,Moderate,Synthoid,Zylar IV,SS Solaris,False
CRW0109,183,18,Scientist,Moderate,Andromedan,Felix,SS Orion,False
CRW0110,54,46,Navigator,Moderate,Synthoid,Aquaros,SS Orion,False
CRW0111,69,13,Navigator,Moderate,Krell,Felix,SS Orion,False
CRW0112,172,37,Scientist,High,Andromedan,Eldar,SS Orion,False
CRW0113,83,52,Security,Low,Synthoid,Zylar IV,SS Andromeda,False
CRW0114,58,60,Scientist,Moderate,Andromedan,Zeta Reticuli,SS Endeavor,False
CRW0115,120,35,Navigator,High,Vulperian,Krellar,SS Aurora,False
CRW0116,193,39,Navigator,High,Xel'Naga,Andromeda Prime,SS Andromeda,True
CRW0117,125,80,Communications Officer,Moderate,Eldari,Dracos,SS Endeavor,False
CRW0118,56,29,Security,Low,Andromedan,Krellar,SS Aurora,False
CRW0119,122,8,Scientist,Moderate,Krell,Krellar,SS Orion,False
CRW0120,196,63,Pilot,High,Vulperian,Vulpes,SS Endeavor,False
CRW0121,152,32,Pilot,Low,Eldari,Earth,SS Orion,False
CRW0122,22,51,Security,Moderate,Vulperian,Aquaros,SS Endeavor,False
CRW0123,26,88,Scientist,Moderate,Human,Zeta Reticuli,SS Odyssey,False
CRW0124,163,13,Scientist,Moderate,Aquarion,Earth,SS Solaris,True
CRW0125,124,74,Engineer,High,Draconian,Andromeda Prime,SS Orion,False
CRW0126,48,52,Navigator,Moderate,Human,Earth,SS Orion,False
CRW0127,158,98,Medical Officer,High,Krell,Vulpes,SS Orion,False
CRW0128,36,58,Communications Officer,Low,Zetan,Andromeda Prime,SS Odyssey,False
CRW0129,111,77,Security,Moderate,Zetan,Eldar,SS Andromeda,False
CRW0130,63,93,Medical Officer,Moderate,Draconian,Eldar,SS Aurora,False
CRW0131,145,40,Medical Officer,Moderate,Vulperian,Zylar IV,SS Orion,True
CRW0132,84,67,Security,Low,Xel'Naga,Earth,SS Orion,False
CRW0133,117,67,Scientist,Low,Krell,Dracos,SS Andromeda,False
CRW0134,73,91,Security,Moderate,Draconian,Zeta Reticuli,SS Andromeda,False
CRW0135,117,7,Medical Officer,Moderate,Felid,Vulpes,SS Solaris,False
CRW0136,153,1,Navigator,Moderate,Eldari,Andromeda Prime,SS Endeavor,True
CRW0137,172,85,Communications Officer,Moderate,Eldari,Zeta Reticuli,SS Orion,False
CRW0138,164,40,Communications Officer,High,Zetan,Earth,SS Endeavor,False
CRW0139,192,54,Navigator,Moderate,Aquarion,Dracos,SS Andromeda,False
CRW0140,50,15,Navigator,High,Felid,Earth,SS Andromeda,False
CRW0141,57,92,Scientist,Low,Vulperian,Aquaros,SS Solaris,False
CRW0142,34,61,Pilot,High,Zetan,Aquaros,SS Aurora,False
CRW0143,181,47,Security,Low,Xel'Naga,Vulpes,SS Odyssey,False
CRW0144,92,29,Communications Officer,Moderate,Draconian,Andromeda Prime,SS Odyssey,False
CRW0145,107,11,Navigator,Moderate,Andromedan,Andromeda Prime,SS Odyssey,True
CRW0146,49,34,Security,Moderate,Xel'Naga,Krellar,SS Andromeda,False
CRW0147,87,10,Communications Officer,High,Andromedan,Vulpes,SS Orion,False
CRW0148,191,63,Navigator,High,Vulperian,Vulpes,SS Solaris,False
CRW0149,66,49,Communications Officer,High,Draconian,Dracos,SS Aurora,False
CRW0150,83,84,Scientist,Moderate,Felid,Aquaros,SS Odyssey,False
CRW0151,155,20,Pilot,Moderate,Eldari,Andromeda Prime,SS Solaris,True
CRW0152,49,68,Pilot,Moderate,Felid,Felix,SS Andromeda,False
CRW0153,49,47,Navigator,High,Felid,Earth,SS Odyssey,False
CRW0154,129,19,Communications Officer,High,Felid,Vulpes,SS Aurora,False
CRW0155,65,100,Scientist,Moderate,Eldari,Zylar IV,SS Endeavor,False
CRW0156,105,66,Engineer,Low,Human,Nova Terra,SS Aurora,True
CRW0157,51,43,Security,Moderate,Eldari,Andromeda Prime,SS Orion,False
CRW0158,96,32,Security,Moderate,Krell,Eldar,SS Odyssey,False
CRW0159,149,72,Medical Officer,Moderate,Human,Andromeda Prime,SS Odyssey,False
CRW0160,113,60,Scientist,High,Human,Zylar IV,SS Endeavor,False
CRW0161,150,8,Communications Officer,Low,Eldari,Andromeda Prime,SS Endeavor,True
CRW0162,142,67,Medical Officer,Moderate,Zetan,Zylar IV,SS Odyssey,True
CRW0163,48,34,Navigator,High,Aquarion,Nova Terra,SS Orion,True
CRW0164,142,80,Communications Officer,Moderate,Aquarion,Krellar,SS Endeavor,False
CRW0165,137,97,Medical Officer,High,Krell,Dracos,SS Andromeda,True
CRW0166,24,87,Pilot,Low,Synthoid,Felix,SS Odyssey,True
CRW0167,124,95,Security,High,Zetan,Nova Terra,SS Aurora,False
CRW0168,176,64,Communications Officer,Moderate,Synthoid,Zeta Reticuli,SS Aurora,False
CRW0169,158,7,Medical Officer,High,Andromedan,Krellar,SS Orion,False
CRW0170,83,44,Pilot,Moderate,Felid,Dracos,SS Andromeda,True
CRW0171,186,86,Scientist,Moderate,Zetan,Aquaros,SS Endeavor,False
CRW0172,72,46,Medical Officer,Moderate,Draconian,Zylar IV,SS Odyssey,True
CRW0173,193,39,Navigator,Moderate,Synthoid,Vulpes,SS Aurora,False
CRW0174,173,75,Navigator,Low,Krell,Zeta Reticuli,SS Aurora,False
CRW0175,80,53,Navigator,High,Krell,Nova Terra,SS Aurora,False
CRW0176,139,75,Communications Officer,High,Zetan,Andromeda Prime,SS Aurora,False
CRW0177,181,45,Security,High,Human,Nova Terra,SS Solaris,False
CRW0178,117,46,Medical Officer,Low,Draconian,Dracos,SS Orion,False
CRW0179,134,14,Scientist,High,Vulperian,Zeta Reticuli,SS Endeavor,False
CRW0180,83,18,Medical Officer,Moderate,Draconian,Earth,SS Odyssey,False
CRW0181,73,25,Security,Moderate,Krell,Dracos,SS Odyssey,False
CRW0182,33,51,Pilot,High,Andromedan,Krellar,SS Odyssey,False
CRW0183,60,92,Security,High,Felid,Nova Terra,SS Endeavor,False
CRW0184,151,21,Navigator,High,Synthoid,Nova Terra,SS Orion,False
CRW0185,152,20,Communications Officer,Moderate,Synthoid,Zeta Reticuli,SS Andromeda,False
CRW0186,134,50,Pilot,High,Andromedan,Zylar IV,SS Orion,False
CRW0187,122,37,Communications Officer,High,Xel'Naga,Zeta Reticuli,SS Aurora,False
CRW0188,134,19,Navigator,Low,Felid,Vulpes,SS Aurora,False
CRW0189,102,28,Engineer,Low,Zetan,Nova Terra,SS Orion,True
CRW0190,134,50,Security,High,Krell,Zylar IV,SS Orion,False
CRW0191,23,3,Security,High,Aquarion,Zylar IV,SS Endeavor,False
CRW0192,151,54,Scientist,High,Eldari,Zeta Reticuli,SS Endeavor,False
CRW0193,75,70,Medical Officer,Moderate,Andromedan,Aquaros,SS Solaris,False
CRW0194,108,91,Pilot,Low,Andromedan,Dracos,SS Odyssey,False
CRW0195,150,27,Communications Officer,High,Draconian,Krellar,SS Solaris,False
CRW0196,168,3,Pilot,High,Zetan,Aquaros,SS Odyssey,False
CRW0197,147,21,Scientist,Moderate,Zetan,Nova Terra,SS Aurora,False
CRW0198,151,75,Scientist,Moderate,Aquarion,Nova Terra,SS Solaris,False
CRW0199,74,44,Communications Officer,High,Eldari,Felix,SS Solaris,False
CRW0200,193,66,Medical Officer,Moderate,Zetan,Nova Terra,SS Andromeda,False
CRW0201,181,85,Communications Officer,High,Human,Eldar,SS Orion,False
CRW0202,181,65,Communications Officer,High,Krell,Andromeda Prime,SS Endeavor,False
CRW0203,89,87,Navigator,Moderate,Human,Earth,SS Solaris,False
CRW0204,144,33,Medical Officer,Low,Xel'Naga,Felix,SS Endeavor,False
CRW0205,166,90,Security,Moderate,Krell,Eldar,SS Odyssey,False
CRW0206,59,54,Navigator,Low,Felid,Earth,SS Solaris,False
CRW0207,45,0,Engineer,Moderate,Vulperian,Zylar IV,SS Odyssey,True
CRW0208,90,71,Medical Officer,Moderate,Krell,Nova Terra,SS Solaris,False
CRW0209,137,86,Scientist,Moderate,Krell,Vulpes,SS Aurora,False
CRW0210,119,37,Navigator,Low,Aquarion,Krellar,SS Andromeda,False
CRW0211,160,5,Medical Officer,Low,Felid,Zeta Reticuli,SS Odyssey,False
CRW0212,165,85,Pilot,High,Human,Krellar,SS Orion,True
CRW0213,118,24,Communications Officer,Low,Eldari,Vulpes,SS Orion,False
CRW0214,145,81,Engineer,Low,Draconian,Zeta Reticuli,SS Aurora,False
CRW0215,91,16,Security,Moderate,Aquarion,Zylar IV,SS Aurora,False
CRW0216,114,60,Communications Officer,High,Krell,Vulpes,SS Orion,False
CRW0217,24,11,Pilot,Low,Draconian,Nova Terra,SS Odyssey,False
CRW0218,169,5,Pilot,Low,Felid,Vulpes,SS Orion,False
CRW0219,185,89,Engineer,High,Synthoid,Nova Terra,SS Andromeda,False
CRW0220,168,26,Security,Low,Draconian,Vulpes,SS Solaris,True
CRW0221,111,7,Scientist,High,Andromedan,Felix,SS Andromeda,False
CRW0222,168,82,Navigator,High,Aquarion,Vulpes,SS Orion,False
CRW0223,169,64,Security,Moderate,Aquarion,Aquaros,SS Solaris,False
CRW0224,117,56,Medical Officer,Moderate,Andromedan,Krellar,SS Orion,False
CRW0225,73,92,Pilot,Moderate,Synthoid,Earth,SS Andromeda,False
CRW0226,182,98,Medical Officer,High,Zetan,Eldar,SS Andromeda,False
CRW0227,189,39,Scientist,Low,Zetan,Aquaros,SS Odyssey,True
CRW0228,149,13,Medical Officer,High,Zetan,Earth,SS Odyssey,False
CRW0229,60,34,Security,High,Zetan,Aquaros,SS Andromeda,False
CRW0230,103,47,Medical Officer,High,Human,Andromeda Prime,SS Solaris,True
CRW0231,125,83,Scientist,Moderate,Andromedan,Zeta Reticuli,SS Odyssey,True
CRW0232,150,55,Scientist,Low,Synthoid,Felix,SS Odyssey,False
CRW0233,32,48,Scientist,Moderate,Krell,Nova Terra,SS Endeavor,True
CRW0234,199,12,Security,Low,Xel'Naga,Eldar,SS Endeavor,True
CRW0235,172,60,Scientist,High,Aquarion,Aquaros,SS Odyssey,False
CRW0236,180,48,Pilot,Moderate,Draconian,Aquaros,SS Orion,True
CRW0237,63,45,Communications Officer,Moderate,Zetan,Zylar IV,SS Solaris,False
CRW0238,120,61,Scientist,Moderate,Draconian,Vulpes,SS Aurora,True
CRW0239,28,7,Medical Officer,High,Xel'Naga,Andromeda Prime,SS Odyssey,False
CRW0240,165,42,Navigator,Moderate,Aquarion,Eldar,SS Endeavor,False
CRW0241,111,19,Medical Officer,Moderate,Vulperian,Eldar,SS Solaris,False
CRW0242,133,96,Navigator,Moderate,Eldari,Zeta Reticuli,SS Solaris,False
CRW0243,81,89,Medical Officer,Moderate,Synthoid,Eldar,SS Endeavor,True
CRW0244,134,38,Security,High,Human,Dracos,SS Solaris,False
CRW0245,23,84,Medical Officer,Moderate,Draconian,Eldar,SS Solaris,True
CRW0246,150,48,Security,High,Zetan,Aquaros,SS Endeavor,True
CRW0247,69,63,Security,Low,Andromedan,Dracos,SS Andromeda,False
CRW0248,161,61,Scientist,Moderate,Draconian,Earth,SS Odyssey,False
CRW0249,58,53,Pilot,High,Aquarion,Vulpes,SS Orion,False
CRW0250,181,8,Navigator,Low,Vulperian,Dracos,SS Aurora,True
CRW0251,30,87,Scientist,Moderate,Synthoid,Earth,SS Orion,False
CRW0252,120,36,Scientist,High,Andromedan,Andromeda Prime,SS Andromeda,True
CRW0253,168,48,Communications Officer,Moderate,Eldari,Krellar,SS Andromeda,False
CRW0254,69,40,Security,High,Aquarion,Nova Terra,SS Solaris,False
CRW0255,152,16,Security,Low,Vulperian,Aquaros,SS Orion,False
CRW0256,169,87,Navigator,Low,Andromedan,Dracos,SS Andromeda,False
CRW0257,173,20,Medical Officer,Low,Eldari,Krellar,SS Orion,False
CRW0258,75,50,Medical Officer,Moderate,Draconian,Vulpes,SS Andromeda,False
CRW0259,141,58,Scientist,Moderate,Aquarion,Zylar IV,SS Aurora,False
CRW0260,182,38,Engineer,Moderate,Felid,Felix,SS Andromeda,False
CRW0261,173,54,Engineer,High,Krell,Andromeda Prime,SS Orion,False
CRW0262,137,40,Medical Officer,Moderate,Felid,Nova Terra,SS Solaris,False
CRW0263,96,38,Engineer,Moderate,Eldari,Vulpes,SS Orion,False
CRW0264,134,12,Communications Officer,High,Vulperian,Felix,SS Endeavor,True
CRW0265,185,63,Medical Officer,Moderate,Krell,Andromeda Prime,SS Orion,False
CRW0266,187,10,Security,Low,Krell,Zylar IV,SS Aurora,False
CRW0267,125,18,Scientist,Low,Human,Earth,SS Odyssey,False
CRW0268,105,10,Pilot,High,Vulperian,Zylar IV,SS Aurora,True
CRW0269,133,76,Scientist,High,Krell,Dracos,SS Aurora,False
CRW0270,120,45,Medical Officer,High,Draconian,Nova Terra,SS Andromeda,False
CRW0271,174,44,Communications Officer,Low,Aquarion,Eldar,SS Aurora,False
CRW0272,114,0,Medical Officer,High,Aquarion,Zeta Reticuli,SS Orion,False
CRW0273,167,39,Scientist,Moderate,Felid,Aquaros,SS Odyssey,True
CRW0274,149,18,Communications Officer,High,Draconian,Aquaros,SS Solaris,False
CRW0275,131,75,Communications Officer,Moderate,Human,Earth,SS Aurora,False
CRW0276,103,71,Communications Officer,High,Synthoid,Vulpes,SS Orion,True
CRW0277,75,71,Navigator,Moderate,Human,Nova Terra,SS Andromeda,False
CRW0278,184,60,Medical Officer,High,Aquarion,Eldar,SS Andromeda,False
CRW0279,190,11,Engineer,Moderate,Synthoid,Earth,SS Solaris,False
CRW0280,182,60,Engineer,High,Human,Zeta Reticuli,SS Solaris,False
CRW0281,89,32,Medical Officer,Moderate,Krell,Dracos,SS Orion,False
CRW0282,54,44,Medical Officer,Low,Synthoid,Dracos,SS Solaris,False
CRW0283,163,89,Navigator,High,Aquarion,Eldar,SS Solaris,False
CRW0284,42,91,Engineer,Low,Draconian,Eldar,SS Andromeda,False
CRW0285,69,68,Medical Officer,Moderate,Zetan,Eldar,SS Orion,False
CRW0286,169,7,Medical Officer,High,Felid,Zylar IV,SS Odyssey,False
CRW0287,149,24,Navigator,Moderate,Krell,Felix,SS Solaris,False
CRW0288,157,90,Navigator,High,Krell,Aquaros,SS Orion,False
CRW0289,156,45,Scientist,Moderate,Zetan,Krellar,SS Aurora,False
CRW0290,166,86,Navigator,Moderate,Eldari,Nova Terra,SS Andromeda,False
CRW0291,149,29,Pilot,High,Felid,Krellar,SS Odyssey,True
CRW0292,54,46,Engineer,Moderate,Xel'Naga,Zylar IV,SS Andromeda,False
CRW0293,197,86,Scientist,Low,Andromedan,Vulpes,SS Andromeda,False
CRW0294,136,48,Pilot,Low,Vulperian,Dracos,SS Endeavor,True
CRW0295,140,46,Medical Officer,Moderate,Human,Aquaros,SS Orion,False
CRW0296,43,83,Medical Officer,Low,Xel'Naga,Eldar,SS Aurora,False
CRW0297,179,81,Scientist,Moderate,Human,Zeta Reticuli,SS Solaris,False
CRW0298,59,17,Navigator,High,Xel'Naga,Zeta Reticuli,SS Aurora,False
CRW0299,130,65,Communications Officer,Low,Synthoid,Zeta Reticuli,SS Orion,False
CRW0300,72,67,Communications Officer,Moderate,Draconian,Nova Terra,SS Andromeda,True
CRW0301,29,93,Medical Officer,Moderate,Vulperian,Eldar,SS Endeavor,False
CRW0302,48,32,Communications Officer,Moderate,Vulperian,Aquaros,SS Orion,True
CRW0303,48,35,Security,Low,Human,Dracos,SS Odyssey,True
CRW0304,42,81,Scientist,Low,Zetan,Krellar,SS Odyssey,True
CRW0305,51,100,Pilot,Moderate,Synthoid,Eldar,SS Orion,True
CRW0306,118,18,Scientist,High,Eldari,Eldar,SS Solaris,False
CRW0307,49,27,Engineer,Moderate,Vulperian,Zylar IV,SS Aurora,False
CRW0308,132,39,Navigator,Moderate,Andromedan,Vulpes,SS Aurora,False
CRW0309,82,83,Navigator,High,Human,Zeta Reticuli,SS Solaris,False
CRW0310,69,96,Scientist,Moderate,Krell,Earth,SS Endeavor,False
CRW0311,168,75,Medical Officer,Moderate,Andromedan,Aquaros,SS Andromeda,False
CRW0312,25,14,Medical Officer,High,Aquarion,Zylar IV,SS Andromeda,False
CRW0313,56,40,Security,High,Human,Vulpes,SS Odyssey,False
CRW0314,70,38,Security,High,Human,Felix,SS Endeavor,False
CRW0315,38,1,Navigator,Low,Krell,Vulpes,SS Solaris,True
CRW0316,193,62,Security,High,Synthoid,Andromeda Prime,SS Orion,False
CRW0317,179,28,Pilot,High,Krell,Zeta Reticuli,SS Aurora,False
CRW0318,67,73,Security,Moderate,Felid,Andromeda Prime,SS Orion,False
CRW0319,138,65,Pilot,High,Vulperian,Zylar IV,SS Aurora,False
CRW0320,27,50,Security,High,Draconian,Vulpes,SS Orion,False
CRW0321,120,74,Navigator,High,Human,Earth,SS Solaris,True
CRW0322,145,76,Navigator,Moderate,Aquarion,Aquaros,SS Solaris,False
CRW0323,58,9,Pilot,Moderate,Zetan,Andromeda Prime,SS Endeavor,False
CRW0324,45,13,Scientist,High,Human,Vulpes,SS Orion,False
CRW0325,114,81,Navigator,Moderate,Krell,Aquaros,SS Orion,False
CRW0326,67,50,Scientist,Low,Xel'Naga,Felix,SS Endeavor,False
CRW0327,116,72,Medical Officer,High,Human,Zeta Reticuli,SS Endeavor,False
CRW0328,120,38,Pilot,High,Human,Krellar,SS Solaris,False
CRW0329,137,27,Communications Officer,High,Felid,Aquaros,SS Solaris,False
CRW0330,181,2,Navigator,Moderate,Aquarion,Vulpes,SS Odyssey,True
CRW0331,182,83,Engineer,Moderate,Felid,Zylar IV,SS Orion,False
CRW0332,88,69,Medical Officer,High,Aquarion,Andromeda Prime,SS Solaris,False
CRW0333,149,26,Scientist,Moderate,Human,Andromeda Prime,SS Solaris,True
CRW0334,39,1,Navigator,High,Xel'Naga,Dracos,SS Orion,False
CRW0335,46,92,Pilot,Moderate,Draconian,Vulpes,SS Endeavor,False
CRW0336,75,37,Communications Officer,Moderate,Eldari,Dracos,SS Orion,False
CRW0337,79,2,Security,High,Xel'Naga,Felix,SS Andromeda,False
CRW0338,88,15,Communications Officer,Moderate,Xel'Naga,Earth,SS Orion,False
CRW0339,125,93,Engineer,High,Xel'Naga,Earth,SS Andromeda,False
CRW0340,195,39,Scientist,Moderate,Draconian,Vulpes,SS Orion,False
CRW0341,45,1,Medical Officer,High,Synthoid,Andromeda Prime,SS Andromeda,False
CRW0342,135,80,Communications Officer,Low,Synthoid,Zeta Reticuli,SS Andromeda,True
CRW0343,53,40,Pilot,High,Xel'Naga,Nova Terra,SS Orion,False
CRW0344,196,11,Engineer,Low,Eldari,Earth,SS Odyssey,False
CRW0345,107,34,Pilot,High,Felid,Andromeda Prime,SS Solaris,False
CRW0346,172,64,Navigator,Moderate,Krell,Eldar,SS Aurora,False
CRW0347,148,54,Security,High,Andromedan,Eldar,SS Solaris,False
CRW0348,176,44,Medical Officer,Low,Synthoid,Dracos,SS Andromeda,False
CRW0349,151,78,Pilot,High,Zetan,Aquaros,SS Orion,False
CRW0350,38,89,Scientist,High,Aquarion,Zeta Reticuli,SS Orion,False
CRW0351,125,100,Navigator,Moderate,Draconian,Dracos,SS Orion,False
CRW0352,182,84,Navigator,High,Draconian,Eldar,SS Orion,False
